experiment,model,train_batches,test_batch,n_train,n_test,mae,r2,low_ppm_n,low_ppm_mae,mae_Ethanol,mae_Ethylene,mae_Ammonia,mae_Acetaldehyde,mae_Acetone,mae_Toluene
rolling,dnn_reg_history_baseline,"1,2,3",4,,161,66.82724066055991,-0.571358994507082,5,140.91802152306144,26.304989774553082,82.02041658290948,23.612744330309358,39.36073822763598,93.86013587212756,
rolling,dnn_reg_sensor,"1,2,3",4,,161,47.351739652854285,-0.2988395220564577,5,70.13341614072328,31.458080288047455,80.90101194370298,13.008005015950026,19.68349096964816,59.6346342258689,
rolling,dnn_reg_time,"1,2,3",4,,161,57.09111061392809,-0.2536074463558913,5,82.17733022620216,52.982077708860935,95.4809143541874,9.657498305103374,33.495877003609756,64.61318367021886,
rolling,dnn_reg_history_baseline,"1,2,3,4",5,,197,23.05121074509505,0.8428317612641575,20,1.8201007969307725,32.0248386488454,20.23152824127264,22.30386309493765,18.333915573960027,29.694337384600107,
rolling,dnn_reg_sensor,"1,2,3,4",5,,197,23.33105974106418,0.80432695671247,20,8.915074874272719,14.025628001213756,28.971622327155846,30.199786858150567,12.189949814345217,21.172393474246636,
rolling,dnn_reg_time,"1,2,3,4",5,,197,25.790280891758044,0.7768935618345882,20,15.613841065555182,9.324863647042239,14.928788541396704,35.63535185627416,30.258097486459256,26.86116869384288,
rolling,dnn_reg_history_baseline,"1,2,3,4,5",6,,2300,20.29146208658317,0.8386512245732032,1471,14.881373666568235,34.915426507249784,9.860570809436105,19.25183923232371,12.84307825133558,33.39175000010956,13.579889376357725
rolling,dnn_reg_sensor,"1,2,3,4,5",6,,2300,33.4200106890434,0.681085534656183,1471,36.29345989247349,25.512430980440055,14.693495437334734,34.48046226603821,15.181826876246713,50.148416836546744,39.074370010918464
rolling,dnn_reg_time,"1,2,3,4,5",6,,2300,39.109438361476,0.5763671193154454,1471,46.93631536707433,9.700053067293881,25.556997004436074,34.212441694420754,27.68213084110953,36.04950962859086,70.64629285257449
rolling,dnn_reg_history_baseline,"1,2,3,4,5,6",7,,3613,25.121972238217616,0.7578754051164032,886,21.1692075701513,39.408932413853556,15.314096047241668,24.546555563222352,28.537282051094987,23.25004727794952,27.71037176496647
rolling,dnn_reg_sensor,"1,2,3,4,5,6",7,,3613,31.681249869565825,0.7014205825015069,886,14.848104141628367,57.30114027215057,34.34123522321099,26.0390965838826,41.99336052316419,23.668250254381135,15.354113284197286
rolling,dnn_reg_time,"1,2,3,4,5,6",7,,3613,34.065561834579974,0.6666338421740332,886,19.21175223706308,58.91321528556105,52.13952677599979,22.16957288548643,40.74930377578317,14.764662051195335,22.1006580907411
rolling,dnn_reg_history_baseline,"1,2,3,4,5,6,7",8,,294,22.650728761520583,0.5935284900649068,134,27.29521522997552,19.670482719786257,13.231562742498062,26.73015888053952,37.61763642620394,9.047123130509913,11.860992776366576
rolling,dnn_reg_sensor,"1,2,3,4,5,6,7",8,,294,25.1669155068118,0.5586948045553821,134,31.176607081630834,19.028556858061584,10.790622613621125,29.48351492906833,43.861523430199426,10.667129746321315,23.879894904350934
rolling,dnn_reg_time,"1,2,3,4,5,6,7",8,,294,26.457920159363383,0.5197991832492457,134,37.74541116174549,19.437024664547906,10.031920464356649,27.31659089319046,47.33458031799054,27.21901804924258,29.28965090021778
rolling,dnn_reg_history_baseline,"1,2,3,4,5,6,7,8",9,,470,22.30751565271938,0.7049231394492859,217,28.60281676660601,9.555782171851817,20.197944541255573,23.170475136477602,21.15952744238534,12.573783377553946,42.33699448506457
rolling,dnn_reg_sensor,"1,2,3,4,5,6,7,8",9,,470,16.92271037494,0.761586530372933,217,17.931391530734956,6.063126812302312,24.817245351037982,20.448151685823532,6.02455236496826,9.21101134493463,29.682078119358586
rolling,dnn_reg_time,"1,2,3,4,5,6,7,8",9,,470,17.96866702638522,0.7969100709843089,217,19.91737397337968,11.842864692384904,17.18676382056367,21.152687107652525,22.374108277361195,1.2300971066287312,29.865923499645266
rolling,dnn_reg_history_baseline,"1,2,3,4,5,6,7,8,9",10,,3600,62.64615657835338,0.8414087956741365,1100,24.254132845424095,124.08849230369316,66.63468010227508,85.58877075874213,48.08329000005963,19.959496679055572,31.52220962629471
rolling,dnn_reg_sensor,"1,2,3,4,5,6,7,8,9",10,,3600,96.72306864883542,0.705786134505286,1100,25.14314306631669,151.5795767544437,91.12292638482496,217.11112827878662,34.60186635821072,45.177123537107,40.745790579639504
rolling,dnn_reg_time,"1,2,3,4,5,6,7,8,9",10,,3600,76.63511554354314,0.7838299720149692,1100,14.146051699579596,150.67151743799357,68.03780929497489,168.6617177224039,29.049994713247003,20.947123464511332,22.44253062812816
