model,domain_lambda,test_batch,seed,accuracy,macro_f1,low_ppm_accuracy,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,phase
dnn_baseline,0.0,4,42,0.8260869565217391,0.683311219224532,1.0,1.0,0.6,1.0,1.0,0.75,0.0,dev
dnn_baseline,0.0,5,42,0.9796954314720813,0.8151726944830392,1.0,0.95,0.9565217391304348,0.9841269841269841,1.0,1.0,0.0,dev
dnn_baseline,0.0,6,42,0.7547826086956522,0.6566330511239569,0.6893269884432359,0.9181818181818182,0.9310344827586207,0.9554455445544554,0.9111498257839721,0.9824902723735408,0.0021413276231263384,dev
dnn_baseline,0.0,7,42,0.7943537226681429,0.7740654700843858,0.626410835214447,0.9277777777777778,0.3682795698924731,0.9984126984126984,0.9984894259818731,1.0,0.5686619718309859,dev
dnn_baseline,0.0,8,42,0.9183673469387755,0.9005389241481776,0.9328358208955224,0.675,0.9696969696969697,0.993006993006993,0.8333333333333334,1.0,0.7777777777777778,dev
dann,0.05,4,42,0.8571428571428571,0.6951729751729752,1.0,1.0,0.6,1.0,1.0,0.828125,0.0,dev
dann,0.05,5,42,0.9847715736040609,0.8198671614003422,1.0,0.95,0.9782608695652174,0.9841269841269841,1.0,1.0,0.0,dev
dann,0.05,6,42,0.7647826086956522,0.6952603293129737,0.7029231815091774,0.9181818181818182,0.9310344827586207,0.9801980198019802,0.9111498257839721,0.9922178988326849,0.008565310492505354,dev
dann,0.05,7,42,0.7760863548297814,0.7550256671702567,0.6162528216704289,0.925,0.3682795698924731,0.9984126984126984,0.9984894259818731,1.0,0.45422535211267606,dev
dann,0.05,8,42,0.9217687074829932,0.9084569793808109,0.9402985074626866,0.675,0.9696969696969697,0.993006993006993,0.8333333333333334,1.0,0.8333333333333334,dev
dann,0.1,4,42,0.8509316770186336,0.69002579722319,1.0,1.0,0.6,1.0,1.0,0.8125,0.0,dev
dann,0.1,5,42,0.9898477157360406,0.8229920146621348,1.0,0.95,0.9782608695652174,1.0,1.0,1.0,0.0,dev
dann,0.1,6,42,0.7530434782608696,0.6437150749738795,0.6947654656696125,0.9181818181818182,0.896551724137931,0.9702970297029703,0.9111498257839721,0.9610894941634242,0.0,dev
dann,0.1,7,42,0.7594796567949073,0.7464140615055367,0.6094808126410836,0.8555555555555555,0.385752688172043,0.8920634920634921,0.9984894259818731,1.0,0.4876760563380282,dev
dann,0.1,8,42,0.9319727891156463,0.9243465617648569,0.9552238805970149,0.675,1.0,0.993006993006993,0.9,1.0,0.8333333333333334,dev
dann,0.2,4,42,0.8074534161490683,0.6636439648528607,0.6,1.0,0.6,1.0,1.0,0.703125,0.0,dev
dann,0.2,5,42,0.9847715736040609,0.8182966629613385,1.0,0.95,0.9565217391304348,1.0,1.0,1.0,0.0,dev
dann,0.2,6,42,0.7560869565217392,0.63934198207854,0.7056424201223658,0.9181818181818182,0.6896551724137931,0.9603960396039604,0.9512195121951219,0.953307392996109,0.0,dev
dann,0.2,7,42,0.6980348740658733,0.6327122125306802,0.41196388261851014,0.9361111111111111,0.2862903225806452,0.9920634920634921,0.9969788519637462,1.0,0.06690140845070422,dev
dann,0.2,8,42,0.9149659863945578,0.8969934208459325,0.9328358208955224,0.675,0.9696969696969697,0.9790209790209791,0.8333333333333334,1.0,0.8333333333333334,dev
dnn_baseline,0.0,9,42,0.7723404255319148,0.7563866692995974,0.5345622119815668,1.0,0.9866666666666667,0.9358974358974359,1.0,0.9836065573770492,0.009900990099009901,final
dnn_baseline,0.0,10,42,0.6775,0.6783402030483905,0.5936363636363636,0.815,0.31833333333333336,0.7866666666666666,0.86,0.43666666666666665,0.8483333333333334,final
dann,0.05,9,42,0.776595744680851,0.7610531315443047,0.5391705069124424,1.0,0.9733333333333334,0.9615384615384616,1.0,1.0,0.009900990099009901,final
dann,0.05,10,42,0.6955555555555556,0.6961735152404606,0.6181818181818182,0.8066666666666666,0.4,0.8783333333333333,0.8633333333333333,0.4216666666666667,0.8033333333333333,final
