model,domain_lambda,test_batch,seed,accuracy,macro_f1,low_ppm_accuracy,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,model_label,mmd_lambda,n_train,n_test,low_ppm_n
dnn_baseline,0.0,4,11,0.7888198757763976,0.6565732277254565,0.0,1.0,0.6333333333333333,1.0,1.0,0.640625,0.0,Plain DNN,,,,
dann,0.05,4,11,0.7701863354037267,0.6332955114679943,0.2,1.0,0.43333333333333335,1.0,1.0,0.6875,0.0,DANN (lambda=0.05),,,,
dnn_baseline,0.0,5,11,0.9847715736040609,0.8172017584024163,1.0,0.9,0.9782608695652174,1.0,1.0,1.0,0.0,Plain DNN,,,,
dann,0.05,5,11,0.9796954314720813,0.8142360464394361,1.0,0.95,0.9565217391304348,0.9841269841269841,1.0,1.0,0.0,DANN (lambda=0.05),,,,
dnn_baseline,0.0,6,11,0.7521739130434782,0.6674910587392263,0.6934058463630184,0.9181818181818182,0.9310344827586207,0.9636963696369637,0.9111498257839721,0.9591439688715954,0.004282655246252677,Plain DNN,,,,
dann,0.05,6,11,0.7704347826086957,0.6413880340059195,0.7192386131883073,0.9181818181818182,0.9655172413793104,0.9603960396039604,0.9860627177700348,0.9610894941634242,0.0021413276231263384,DANN (lambda=0.05),,,,
dnn_baseline,0.0,7,11,0.7702740105175754,0.7466826014740015,0.5981941309255079,0.9361111111111111,0.23118279569892472,0.9984126984126984,1.0,1.0,0.5880281690140845,Plain DNN,,,,
dann,0.05,7,11,0.7628009964018821,0.7438087861435404,0.5237020316027088,0.9583333333333334,0.3467741935483871,0.9984126984126984,0.9984894259818731,1.0,0.3767605633802817,DANN (lambda=0.05),,,,
dnn_baseline,0.0,8,11,0.9149659863945578,0.9006865573589004,0.9477611940298507,0.675,0.9696969696969697,0.965034965034965,0.9,1.0,0.8333333333333334,Plain DNN,,,,
dann,0.05,8,11,0.935374149659864,0.9285450349265812,0.9701492537313433,0.675,0.9696969696969697,0.993006993006993,0.9333333333333333,1.0,0.8888888888888888,DANN (lambda=0.05),,,,
dnn_baseline,0.0,9,11,0.7680851063829788,0.7475266946163032,0.5345622119815668,1.0,0.9866666666666667,0.9102564102564102,1.0,1.0,0.0,Plain DNN,,,,
dann,0.05,9,11,0.774468085106383,0.7545561467240351,0.5345622119815668,1.0,0.9733333333333334,0.9615384615384616,1.0,1.0,0.0,DANN (lambda=0.05),,,,
dnn_baseline,0.0,10,11,0.6675,0.6677326997132488,0.6154545454545455,0.8716666666666667,0.2916666666666667,0.7433333333333333,0.845,0.4083333333333333,0.845,Plain DNN,,,,
dann,0.05,10,11,0.6911111111111111,0.6954074596157037,0.64,0.8633333333333333,0.345,0.775,0.865,0.475,0.8233333333333334,DANN (lambda=0.05),,,,
dnn_baseline,0.0,4,23,0.8074534161490683,0.6633776275343716,1.0,1.0,0.6,1.0,1.0,0.703125,0.0,Plain DNN,,,,
dann,0.05,4,23,0.6894409937888198,0.5879551251937581,0.0,1.0,0.43333333333333335,1.0,0.9302325581395349,0.53125,0.0,DANN (lambda=0.05),,,,
dnn_baseline,0.0,5,23,0.9796954314720813,0.8142360464394361,1.0,0.95,0.9565217391304348,0.9841269841269841,1.0,1.0,0.0,Plain DNN,,,,
dann,0.05,5,23,0.9796954314720813,0.8142360464394361,1.0,0.95,0.9565217391304348,0.9841269841269841,1.0,1.0,0.0,DANN (lambda=0.05),,,,
dnn_baseline,0.0,6,23,0.7756521739130435,0.6420676077002526,0.7355540448674371,0.9181818181818182,0.6551724137931034,0.9884488448844885,1.0,0.953307392996109,0.0021413276231263384,Plain DNN,,,,
dann,0.05,6,23,0.77,0.6410772937534936,0.7267165193745752,0.9181818181818182,0.6551724137931034,0.966996699669967,1.0,0.953307392996109,0.0021413276231263384,DANN (lambda=0.05),,,,
dnn_baseline,0.0,7,23,0.7431497370606145,0.7041882874865323,0.5733634311512416,0.9361111111111111,0.1922043010752688,0.9984126984126984,0.9984894259818731,1.0,0.46830985915492956,Plain DNN,,,,
dann,0.05,7,23,0.7514530860780515,0.7211053929126074,0.5869074492099323,0.9055555555555556,0.2553763440860215,0.9984126984126984,1.0,1.0,0.45598591549295775,DANN (lambda=0.05),,,,
dnn_baseline,0.0,8,23,0.9183673469387755,0.8941707429108376,0.9328358208955224,0.675,0.9696969696969697,0.993006993006993,0.8333333333333334,1.0,0.7777777777777778,Plain DNN,,,,
dann,0.05,8,23,0.9217687074829932,0.8898595777664133,0.9402985074626866,0.675,0.9696969696969697,0.993006993006993,0.9,1.0,0.7222222222222222,DANN (lambda=0.05),,,,
dnn_baseline,0.0,9,23,0.7723404255319148,0.753536945812808,0.5345622119815668,1.0,1.0,0.9230769230769231,1.0,1.0,0.0,Plain DNN,,,,
dann,0.05,9,23,0.774468085106383,0.7561107068747136,0.5299539170506913,1.0,1.0,0.9487179487179487,1.0,0.9836065573770492,0.0,DANN (lambda=0.05),,,,
dnn_baseline,0.0,10,23,0.6938888888888889,0.6959503354652093,0.6263636363636363,0.845,0.37833333333333335,0.7333333333333333,0.8666666666666667,0.495,0.845,Plain DNN,,,,
dann,0.05,10,23,0.725,0.7209787254472019,0.6409090909090909,0.8816666666666667,0.275,0.785,0.8016666666666666,0.695,0.9116666666666666,DANN (lambda=0.05),,,,
dnn_baseline,0.0,4,37,0.9316770186335404,0.7470536771138901,1.0,1.0,0.6666666666666666,1.0,1.0,0.984375,0.0,Plain DNN,,,,
dann,0.05,4,37,0.7204968944099379,0.6041081126904881,0.2,1.0,0.43333333333333335,1.0,0.8837209302325582,0.640625,0.0,DANN (lambda=0.05),,,,
dnn_baseline,0.0,5,37,0.9847715736040609,0.8188356981460431,1.0,0.95,0.9782608695652174,0.9841269841269841,1.0,1.0,0.0,Plain DNN,,,,
dann,0.05,5,37,0.9898477157360406,0.8229920146621348,1.0,0.95,0.9782608695652174,1.0,1.0,1.0,0.0,DANN (lambda=0.05),,,,
dnn_baseline,0.0,6,37,0.7773913043478261,0.6799137889921013,0.7294357579877634,0.9181818181818182,0.7241379310344828,0.9917491749174917,0.9825783972125436,0.9747081712062257,0.0,Plain DNN,,,,
dann,0.05,6,37,0.7739130434782608,0.6519236575734113,0.7233174711080897,0.9181818181818182,0.6896551724137931,0.9587458745874587,1.0,0.980544747081712,0.0,DANN (lambda=0.05),,,,
dnn_baseline,0.0,7,37,0.7486853030722391,0.7114283512489842,0.5846501128668171,0.9444444444444444,0.19623655913978494,0.9984126984126984,0.9984894259818731,1.0,0.49295774647887325,Plain DNN,,,,
dann,0.05,7,37,0.7193468032106283,0.6766547181757329,0.5395033860045146,0.9055555555555556,0.20295698924731181,0.9984126984126984,0.9984894259818731,1.0,0.3221830985915493,DANN (lambda=0.05),,,,
dnn_baseline,0.0,8,37,0.9149659863945578,0.891374981463194,0.9328358208955224,0.675,0.9696969696969697,0.986013986013986,0.8333333333333334,1.0,0.7777777777777778,Plain DNN,,,,
dann,0.05,8,37,0.9047619047619048,0.8683632369836086,0.8955223880597015,0.675,1.0,0.993006993006993,0.7333333333333333,1.0,0.6666666666666666,DANN (lambda=0.05),,,,
dnn_baseline,0.0,9,37,0.776595744680851,0.7655126304450292,0.5529953917050692,1.0,0.9866666666666667,0.9102564102564102,1.0,1.0,0.039603960396039604,Plain DNN,,,,
dann,0.05,9,37,0.7723404255319148,0.7539514286089964,0.5345622119815668,1.0,1.0,0.9230769230769231,1.0,1.0,0.0,DANN (lambda=0.05),,,,
dnn_baseline,0.0,10,37,0.6886111111111111,0.6959646325062098,0.6445454545454545,0.84,0.4166666666666667,0.7316666666666667,0.8616666666666667,0.5183333333333333,0.7633333333333333,Plain DNN,,,,
dann,0.05,10,37,0.6572222222222223,0.6621025271978273,0.5790909090909091,0.7633333333333333,0.37833333333333335,0.7266666666666667,0.8716666666666667,0.4083333333333333,0.795,DANN (lambda=0.05),,,,
dnn_mmd,,4,11,0.7701863354037267,0.6438709348903523,0.0,1.0,0.6,1.0,1.0,0.609375,0.0,MMD (lambda=0.5),0.5,3275.0,161.0,5.0
dnn_mmd,,5,11,0.9746192893401016,0.8091362509243295,1.0,0.9,0.9782608695652174,1.0,1.0,0.9285714285714286,0.0,MMD (lambda=0.5),0.5,3436.0,197.0,20.0
dnn_mmd,,6,11,0.7513043478260869,0.6708291114091184,0.6934058463630184,0.9181818181818182,0.9310344827586208,0.9636963696369636,0.911149825783972,0.9552529182879378,0.0042826552462526,MMD (lambda=0.5),0.5,3633.0,2300.0,1471.0
