test_batch,set,n_samples,share,accuracy,error_rate,low_ppm_n
4,probability,1,0.006211180124223602,0.0,1.0,0
4,pca_geometry,59,0.36645962732919257,0.6610169491525424,0.3389830508474576,1
4,union,59,0.36645962732919257,0.6610169491525424,0.3389830508474576,1
4,non_boundary,102,0.6335403726708074,0.803921568627451,0.196078431372549,4
5,probability,1,0.005076142131979695,1.0,0.0,0
5,pca_geometry,80,0.40609137055837563,1.0,0.0,14
5,union,81,0.41116751269035534,1.0,0.0,14
5,non_boundary,116,0.5888324873096447,0.9827586206896551,0.017241379310344862,6
6,probability,588,0.25565217391304346,0.09693877551020408,0.903061224489796,433
6,pca_geometry,731,0.31782608695652176,0.7688098495212038,0.2311901504787962,588
6,union,1137,0.49434782608695654,0.5285839929639402,0.4714160070360598,904
6,non_boundary,1163,0.5056521739130435,0.9759243336199485,0.02407566638005154,567
7,probability,891,0.24660946581787987,0.2962962962962963,0.7037037037037037,343
7,pca_geometry,1377,0.3811237199003598,0.6230936819172114,0.3769063180827886,605
7,union,1798,0.4976473844450595,0.5739710789766407,0.4260289210233593,653
7,non_boundary,1815,0.5023526155549405,0.9713498622589531,0.028650137741046855,233
8,probability,22,0.07482993197278912,0.8181818181818182,0.18181818181818177,14
8,pca_geometry,78,0.2653061224489796,0.8974358974358975,0.10256410256410253,45
8,union,91,0.30952380952380953,0.8901098901098901,0.10989010989010994,51
8,non_boundary,203,0.6904761904761905,0.9556650246305419,0.044334975369458074,83
9,probability,15,0.031914893617021274,0.2,0.8,10
9,pca_geometry,272,0.5787234042553191,0.6617647058823529,0.3382352941176471,152
9,union,281,0.597872340425532,0.6441281138790036,0.3558718861209964,158
9,non_boundary,189,0.4021276595744681,0.9523809523809523,0.04761904761904767,59
10,probability,326,0.09055555555555556,0.3558282208588957,0.6441717791411044,192
10,pca_geometry,1853,0.5147222222222222,0.7285483000539665,0.27145169994603346,821
10,union,1986,0.5516666666666666,0.7004028197381672,0.2995971802618328,848
10,non_boundary,1614,0.4483333333333333,0.7007434944237918,0.2992565055762082,252
