test_batch,actual_gas,predicted_gas,errors
4,Acetone,Ammonia,20
6,Toluene,Ethylene,410
6,Acetaldehyde,Acetone,51
6,Toluene,Ammonia,39
6,Acetone,Ethylene,22
6,Acetone,Ammonia,11
6,Ethanol,Ammonia,3
7,Ethylene,Acetone,234
7,Ethylene,Ethanol,159
7,Toluene,Acetone,95
7,Ethylene,Ammonia,90
7,Toluene,Ammonia,68
7,Ethanol,Acetaldehyde,35
7,Toluene,Ethylene,30
7,Ethylene,Acetaldehyde,25
7,Toluene,Ethanol,22
7,Toluene,Acetaldehyde,5
7,Acetaldehyde,Ammonia,1
7,Ammonia,Acetaldehyde,1
7,Ethanol,Ammonia,1
8,Ethanol,Ammonia,5
8,Acetaldehyde,Ethanol,1
8,Ammonia,Acetone,1
8,Ammonia,Ethanol,1
8,Ammonia,Toluene,1
8,Toluene,Ethylene,1
9,Toluene,Ethylene,91
9,Ammonia,Ethylene,3
9,Ammonia,Ethanol,2
9,Toluene,Acetone,2
9,Ethylene,Ammonia,1
9,Ethylene,Ethanol,1
10,Ethylene,Toluene,162
10,Acetone,Ethylene,112
10,Acetaldehyde,Ammonia,69
10,Toluene,Ethylene,64
10,Ethanol,Acetaldehyde,51
10,Ethylene,Acetone,30
10,Ethanol,Ammonia,26
10,Acetone,Toluene,25
10,Ethanol,Ethylene,25
10,Acetone,Ammonia,10
10,Acetaldehyde,Ethanol,7
10,Ammonia,Toluene,6
10,Acetaldehyde,Ethylene,5
10,Ammonia,Ethylene,2
10,Ethanol,Acetone,1
