model,mmd_lambda,test_batch,n_train,n_test,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,low_ppm_n,low_ppm_accuracy
dnn_baseline,0.0,4,3275,161,0.8074534161490683,0.6744745510530724,1.0,0.6,1.0,1.0,0.703125,0.0,5,1.0
dnn_baseline,0.0,5,3436,197,0.9847715736040609,0.8198671614003422,0.95,0.9782608695652174,0.9841269841269841,1.0,1.0,0.0,20,1.0
dnn_baseline,0.0,6,3633,2300,0.7539130434782608,0.6315308493780583,0.9181818181818182,0.9310344827586207,0.9504950495049505,0.9111498257839721,0.9844357976653697,0.0021413276231263384,1471,0.6947654656696125
dnn_baseline,0.0,7,5933,3613,0.7868807085524495,0.7683045560179261,0.925,0.3870967741935484,0.9984126984126984,0.9984894259818731,1.0,0.4982394366197183,886,0.600451467268623
dnn_baseline,0.0,8,9546,294,0.9115646258503401,0.8850503383342935,0.675,0.9696969696969697,0.993006993006993,0.7666666666666667,1.0,0.7777777777777778,134,0.917910447761194
dnn_mmd,0.1,4,3275,161,0.8074534161490683,0.6681008245768658,1.0,0.6,1.0,1.0,0.703125,0.0,5,1.0
dnn_mmd,0.1,5,3436,197,0.9847715736040609,0.8198671614003422,0.95,0.9782608695652174,0.9841269841269841,1.0,1.0,0.0,20,1.0
dnn_mmd,0.1,6,3633,2300,0.7639130434782608,0.6471843819117269,0.9181818181818182,0.9310344827586207,0.9537953795379538,1.0,0.9260700389105059,0.0021413276231263384,1471,0.7144799456152278
dnn_mmd,0.1,7,5933,3613,0.7879878217547744,0.7672606973233188,0.9166666666666666,0.3924731182795699,0.9984126984126984,1.0,1.0,0.5017605633802817,886,0.6162528216704289
dnn_mmd,0.1,8,9546,294,0.9115646258503401,0.8912424318454923,0.675,0.9696969696969697,0.993006993006993,0.7666666666666667,1.0,0.7777777777777778,134,0.917910447761194
dnn_mmd,0.5,4,3275,161,0.8074534161490683,0.6665321899594508,1.0,0.6,1.0,1.0,0.703125,0.0,5,0.6
dnn_mmd,0.5,5,3436,197,0.9949238578680203,0.8277474931018238,0.95,1.0,1.0,1.0,1.0,0.0,20,1.0
dnn_mmd,0.5,6,3633,2300,0.7547826086956522,0.6875324438139961,0.9181818181818182,0.7241379310344828,0.9603960396039604,0.9111498257839721,0.9669260700389105,0.02569593147751606,1471,0.6974847042828008
dnn_mmd,0.5,7,5933,3613,0.7940769443675616,0.7764970814469508,0.8944444444444445,0.3629032258064516,0.9984126984126984,0.9984894259818731,1.0,0.5950704225352113,886,0.6297968397291196
dnn_mmd,0.5,8,9546,294,0.9455782312925171,0.9372297187113606,0.725,1.0,0.986013986013986,1.0,1.0,0.8333333333333334,134,0.9776119402985075
dnn_mmd,1.0,4,3275,161,0.7888198757763976,0.6558867117597277,1.0,0.6333333333333333,1.0,0.8837209302325582,0.71875,0.0,5,1.0
dnn_mmd,1.0,5,3436,197,0.9898477157360406,0.8219572368421053,0.9,1.0,1.0,1.0,1.0,0.0,20,1.0
dnn_mmd,1.0,6,3633,2300,0.7682608695652174,0.6909877378202993,0.9181818181818182,0.7586206896551724,0.9686468646864687,0.9790940766550522,0.9591439688715954,0.004282655246252677,1471,0.7205982324949014
dnn_mmd,1.0,7,5933,3613,0.7929698311652367,0.7755620424116304,0.9472222222222222,0.3897849462365591,0.9984126984126984,0.9984894259818731,1.0,0.5193661971830986,886,0.5891647855530474
dnn_mmd,1.0,8,9546,294,0.9387755102040817,0.9259398161572076,0.7,1.0,0.986013986013986,1.0,1.0,0.7777777777777778,134,0.9701492537313433
dnn_baseline,0.0,9,9840,470,0.774468085106383,0.7582619324091339,1.0,0.9866666666666667,0.9358974358974359,1.0,1.0,0.009900990099009901,217,0.5391705069124424
dnn_baseline,0.0,10,10310,3600,0.6758333333333333,0.6778368824282013,0.7816666666666666,0.29833333333333334,0.83,0.8583333333333333,0.4533333333333333,0.8333333333333334,1100,0.5945454545454546
dnn_mmd,0.5,9,9840,470,0.774468085106383,0.7563269941067561,1.0,0.9866666666666667,0.9358974358974359,1.0,1.0,0.009900990099009901,217,0.5391705069124424
dnn_mmd,0.5,10,10310,3600,0.7136111111111111,0.7194853338612007,0.785,0.3616666666666667,0.83,0.8516666666666667,0.5866666666666667,0.8666666666666667,1100,0.6072727272727273
