model,augmentation_ratio,test_batch,seed,n_real_train,n_synthetic_train,accuracy,macro_f1,low_ppm_accuracy,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,phase
MMD baseline,0.0,4,42,3275,0,0.8074534161490683,0.6665321899594508,0.6,1.0,0.6,1.0,1.0,0.703125,0.0,dev
MMD baseline,0.0,5,42,3436,0,0.9949238578680203,0.8277474931018238,1.0,0.95,1.0,1.0,1.0,1.0,0.0,dev
MMD baseline,0.0,6,42,3633,0,0.7547826086956522,0.6875324438139961,0.6974847042828008,0.9181818181818182,0.7241379310344828,0.9603960396039604,0.9111498257839721,0.9669260700389105,0.02569593147751606,dev
MMD baseline,0.0,7,42,5933,0,0.7940769443675616,0.7764970814469508,0.6297968397291196,0.8944444444444445,0.3629032258064516,0.9984126984126984,0.9984894259818731,1.0,0.5950704225352113,dev
MMD baseline,0.0,8,42,9546,0,0.9455782312925171,0.9372297187113606,0.9776119402985075,0.725,1.0,0.986013986013986,1.0,1.0,0.8333333333333334,dev
MMD + interpolation,0.25,4,42,3275,818,0.7763975155279503,0.6485124428077224,0.0,1.0,0.6333333333333333,1.0,1.0,0.609375,0.0,dev
MMD + interpolation,0.25,5,42,3436,859,0.9695431472081218,0.8051442022030257,1.0,0.95,1.0,1.0,1.0,0.8214285714285714,0.0,dev
MMD + interpolation,0.25,6,42,3633,908,0.7486956521739131,0.618458002796314,0.6893269884432359,0.9181818181818182,0.7586206896551724,0.9554455445544554,0.9111498257839721,0.9630350194552529,0.004282655246252677,dev
MMD + interpolation,0.25,7,42,5933,1483,0.7470246332687517,0.7160656250033894,0.5011286681715575,0.8916666666666667,0.36693548387096775,0.9984126984126984,0.9984894259818731,1.0,0.29225352112676056,dev
MMD + interpolation,0.25,8,42,9546,2386,0.9387755102040817,0.9270345019732623,0.9701492537313433,0.725,0.9393939393939394,0.993006993006993,0.9333333333333333,1.0,0.8888888888888888,dev
MMD + interpolation,0.5,4,42,3275,1637,0.7888198757763976,0.6617702784031384,0.2,1.0,0.6666666666666666,1.0,1.0,0.625,0.0,dev
MMD + interpolation,0.5,5,42,3436,1718,0.9949238578680203,0.8277474931018238,1.0,0.95,1.0,1.0,1.0,1.0,0.0,dev
MMD + interpolation,0.5,6,42,3633,1816,0.7504347826086957,0.6291889086936782,0.6913664174031271,0.9181818181818182,0.9310344827586207,0.9603960396039604,0.9111498257839721,0.9552529182879378,0.004282655246252677,dev
MMD + interpolation,0.5,7,42,5933,2966,0.7890949349570994,0.7692547372561346,0.6038374717832957,0.925,0.3655913978494624,0.9968253968253968,0.9984894259818731,1.0,0.5422535211267606,dev
MMD + interpolation,0.5,8,42,9546,4773,0.935374149659864,0.9252126614988138,0.9701492537313433,0.7,0.9696969696969697,0.986013986013986,0.9666666666666667,1.0,0.8333333333333334,dev
MMD baseline,0.0,9,42,9840,0,0.774468085106383,0.7563269941067561,0.5391705069124424,1.0,0.9866666666666667,0.9358974358974359,1.0,1.0,0.009900990099009901,final
MMD baseline,0.0,10,42,10310,0,0.7136111111111111,0.7194853338612007,0.6072727272727273,0.785,0.3616666666666667,0.83,0.8516666666666667,0.5866666666666667,0.8666666666666667,final
MMD baseline,0.0,9,42,9840,0,0.774468085106383,0.7563269941067561,0.5391705069124424,1.0,0.9866666666666667,0.9358974358974359,1.0,1.0,0.009900990099009901,final
MMD baseline,0.0,10,42,10310,0,0.7136111111111111,0.7194853338612007,0.6072727272727273,0.785,0.3616666666666667,0.83,0.8516666666666667,0.5866666666666667,0.8666666666666667,final
