drift_metric,performance_metric,pearson_r,pearson_p,spearman_rho,spearman_p
standardized_center_distance,accuracy,-0.09346475072738966,0.8420214485993277,-0.14285714285714288,0.7599453002180927
standardized_center_distance,macro_f1,-0.16864111697303416,0.7177595981620413,-0.3214285714285715,0.4820720382996778
standardized_center_distance,mae,0.39513961756929367,0.3803083106992792,-0.10714285714285716,0.8191508555699912
standardized_center_distance,r2,-0.8834840749306653,0.008351332870582949,-0.7142857142857144,0.07134356146753766
standardized_center_distance,boundary_error_rate,0.04264474573269966,0.9276698419084697,-0.03571428571428572,0.9394082054712856
pca_center_distance,accuracy,0.22684630463270672,0.6247254316441726,0.21428571428571433,0.6445115810207203
pca_center_distance,macro_f1,0.27211346192061614,0.5549570364948733,0.07142857142857144,0.879048193148154
pca_center_distance,mae,-0.25069987940459415,0.5876462283484851,-0.4642857142857144,0.29393410760025196
pca_center_distance,r2,-0.399128470592424,0.37507370096387194,-0.6785714285714287,0.09375025395983135
pca_center_distance,boundary_error_rate,-0.0893923629175085,0.8488484293264331,0.03571428571428572,0.9394082054712856
mean_ks_statistic,accuracy,0.5236806649511562,0.22768304458824282,0.5714285714285715,0.18020198891152767
mean_ks_statistic,macro_f1,0.5454137855567402,0.20541237719737418,0.42857142857142866,0.3373683110858243
mean_ks_statistic,mae,-0.48757327583373067,0.26704174546748605,-0.6785714285714287,0.09375025395983135
mean_ks_statistic,r2,-0.0039079536922778935,0.993365702420103,-0.25,0.5887244480896832
mean_ks_statistic,boundary_error_rate,-0.416770412789413,0.3522808941325911,-0.1785714285714286,0.7016579425162727
mean_abs_standardized_shift,accuracy,0.07467173697445642,0.8735864435095365,-0.07142857142857144,0.879048193148154
mean_abs_standardized_shift,macro_f1,0.1514480684951674,0.7458321620041964,-0.21428571428571433,0.6445115810207203
mean_abs_standardized_shift,mae,0.00022350221435329942,0.9996205708659428,-0.28571428571428575,0.5345092286010406
mean_abs_standardized_shift,r2,-0.547221702276369,0.20360893207683842,-0.642857142857143,0.11939237342741109
mean_abs_standardized_shift,boundary_error_rate,-0.0430411627808676,0.9269987154854704,0.0,1.0
class_conditional_center_distance,accuracy,-0.46129332675310186,0.2974729051376978,-0.7142857142857144,0.07134356146753766
class_conditional_center_distance,macro_f1,-0.5546759726808295,0.1962537826627397,-0.7857142857142859,0.03623846267982715
class_conditional_center_distance,mae,0.8671810999037903,0.011481036103006152,0.39285714285714296,0.3833168704269727
class_conditional_center_distance,r2,-0.509785444936553,0.24248603835646043,0.03571428571428572,0.9394082054712856
class_conditional_center_distance,boundary_error_rate,0.09154784688565351,0.845234001862609,-0.07142857142857144,0.879048193148154
class_conditional_mean_ks,accuracy,0.45037965945884517,0.31053691701676484,0.42857142857142866,0.3373683110858243
class_conditional_mean_ks,macro_f1,0.4130928466884539,0.3569833177830774,0.3571428571428572,0.431611352038328
class_conditional_mean_ks,mae,-0.43663197398664266,0.3273399449405353,-0.642857142857143,0.11939237342741109
class_conditional_mean_ks,r2,-0.020180986469014006,0.9657466695104477,-0.1785714285714286,0.7016579425162727
class_conditional_mean_ks,boundary_error_rate,-0.3593405495100299,0.4285750964454455,-0.28571428571428575,0.5345092286010406
