variant,description,test_batch,n_train,n_test,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene
full,sensor + time + dropout + joint loss,4,3275,161,0.7577639751552795,0.6484467751921046,0.625,0.8837209302325582,1.0,0.6666666666666666,1.0,0.0
full,sensor + time + dropout + joint loss,5,3436,197,0.9898477157360406,0.824622211718986,1.0,1.0,0.95,1.0,0.9841269841269841,0.0
full,sensor + time + dropout + joint loss,6,3633,2300,0.7621739130434783,0.6514951998481198,0.9708171206225681,0.9111498257839721,0.9181818181818182,1.0,0.9917491749174917,0.0
full,sensor + time + dropout + joint loss,7,5933,3613,0.8787711043454193,0.87139396181257,1.0,0.9984894259818731,0.9361111111111111,0.5174731182795699,0.9984126984126984,0.9049295774647887
full,sensor + time + dropout + joint loss,8,9546,294,0.935374149659864,0.9252019525675629,1.0,0.9,0.675,0.9696969696969697,0.993006993006993,0.9444444444444444
full,sensor + time + dropout + joint loss,9,9840,470,0.7723404255319148,0.757247439595984,1.0,1.0,1.0,0.9866666666666667,0.9230769230769231,0.009900990099009901
full,sensor + time + dropout + joint loss,10,10310,3600,0.7344444444444445,0.7373993947486607,0.6966666666666667,0.855,0.8116666666666666,0.39166666666666666,0.81,0.8416666666666667
no_time,"sensor only (no time branch, no time features)",4,3275,161,0.7763975155279503,0.6528828911723622,0.703125,0.8837209302325582,1.0,0.6,1.0,0.0
no_time,"sensor only (no time branch, no time features)",5,3436,197,0.9949238578680203,0.8277474931018238,1.0,1.0,0.95,1.0,1.0,0.0
no_time,"sensor only (no time branch, no time features)",6,3633,2300,0.7504347826086957,0.6481597765733621,0.943579766536965,0.9111498257839721,0.9181818181818182,1.0,0.9653465346534653,0.006423982869379015
no_time,"sensor only (no time branch, no time features)",7,5933,3613,0.8768336562413507,0.8812541601518427,1.0,0.9984894259818731,0.9361111111111111,0.5470430107526881,0.9984126984126984,0.8538732394366197
no_time,"sensor only (no time branch, no time features)",8,9546,294,0.9285714285714286,0.9085386813410096,1.0,0.8333333333333334,0.675,0.9696969696969697,0.993006993006993,0.9444444444444444
no_time,"sensor only (no time branch, no time features)",9,9840,470,0.7702127659574468,0.7526243567710198,1.0,1.0,1.0,0.9866666666666667,0.9102564102564102,0.009900990099009901
no_time,"sensor only (no time branch, no time features)",10,10310,3600,0.7497222222222222,0.7550617531959056,0.6783333333333333,0.8733333333333333,0.865,0.4583333333333333,0.8383333333333334,0.785
no_reg,classification loss only (no regression auxiliary),4,3275,161,0.7888198757763976,0.6712908815247997,0.703125,0.8837209302325582,1.0,0.6666666666666666,1.0,0.0
no_reg,classification loss only (no regression auxiliary),5,3436,197,0.9898477157360406,0.824622211718986,1.0,1.0,0.95,1.0,0.9841269841269841,0.0
no_reg,classification loss only (no regression auxiliary),6,3633,2300,0.7578260869565218,0.6481602837239769,0.9474708171206225,0.9111498257839721,0.9181818181818182,1.0,0.995049504950495,0.0
no_reg,classification loss only (no regression auxiliary),7,5933,3613,0.8876280099640188,0.8905091223464598,1.0,0.9984894259818731,0.925,0.5497311827956989,0.9984126984126984,0.926056338028169
no_reg,classification loss only (no regression auxiliary),8,9546,294,0.9251700680272109,0.9181476823748141,1.0,0.8333333333333334,0.675,0.9393939393939394,0.993006993006993,0.9444444444444444
no_reg,classification loss only (no regression auxiliary),9,9840,470,0.7553191489361702,0.7438110967867416,0.8852459016393442,1.0,1.0,0.9866666666666667,0.9102564102564102,0.009900990099009901
no_reg,classification loss only (no regression auxiliary),10,10310,3600,0.7752777777777777,0.7763158595390346,0.91,0.825,0.815,0.5066666666666667,0.76,0.835
no_dropout,all Dropout layers removed,4,3275,161,0.7204968944099379,0.6234801720912831,0.53125,0.8837209302325582,1.0,0.6666666666666666,1.0,0.0
no_dropout,all Dropout layers removed,5,3436,197,0.9898477157360406,0.824622211718986,1.0,1.0,0.95,1.0,0.9841269841269841,0.0
no_dropout,all Dropout layers removed,6,3633,2300,0.7473913043478261,0.6443187358199031,0.9610894941634242,0.9111498257839721,0.9181818181818182,1.0,0.9438943894389439,0.0
no_dropout,all Dropout layers removed,7,5933,3613,0.8596734016053141,0.8608391392412451,1.0,0.9984894259818731,0.8916666666666667,0.5846774193548387,0.9984126984126984,0.7235915492957746
no_dropout,all Dropout layers removed,8,9546,294,0.9217687074829932,0.9126336726336728,0.9666666666666667,0.8333333333333334,0.675,0.9696969696969697,0.986013986013986,0.9444444444444444
no_dropout,all Dropout layers removed,9,9840,470,0.774468085106383,0.7566935698380064,1.0,1.0,1.0,0.9866666666666667,0.9358974358974359,0.009900990099009901
no_dropout,all Dropout layers removed,10,10310,3600,0.7719444444444444,0.7734272128592276,0.805,0.8516666666666667,0.7433333333333333,0.515,0.885,0.8316666666666667
