gas_name,ppm_interval,samples,accuracy
Acetaldehyde,≤10,100,0.84
Acetaldehyde,10-50,100,0.85
Acetaldehyde,50-100,100,0.84
Acetaldehyde,100-250,300,0.85
Acetaldehyde,250-1000,0,
Acetone,≤10,100,0.42
Acetone,10-50,100,0.4
Acetone,50-100,100,0.4
Acetone,100-250,300,0.43333333333333335
Acetone,250-1000,0,
Ammonia,≤10,0,
Ammonia,10-50,100,0.64
Ammonia,50-100,0,
Ammonia,100-250,100,0.82
Ammonia,250-1000,400,0.985
Ethanol,≤10,0,
Ethanol,10-50,100,0.52
Ethanol,50-100,0,
Ethanol,100-250,100,0.89
Ethanol,250-1000,400,0.895
Ethylene,≤10,100,0.8
Ethylene,10-50,100,0.37
Ethylene,50-100,100,0.36
Ethylene,100-250,300,0.36666666666666664
Ethylene,250-1000,0,
Toluene,≤10,100,0.26
Toluene,10-50,200,1.0
Toluene,50-100,300,0.92
Toluene,100-250,0,
Toluene,250-1000,0,
