model,test_batch,mae,r2,low_ppm_n,low_ppm_mae,mae_Ethanol,mae_Ethylene,mae_Ammonia,mae_Acetaldehyde,mae_Acetone,mae_Toluene,residual_classifier_accuracy
dnn_reg_history_residual,4,109.34269561146073,-2.337409141807126,5,149.0939594551797,51.29602284738024,88.23647022659078,15.436806398191116,57.02127610891866,182.8807978596421,,0.7515527950310559
dnn_reg_lowppm_weighted,4,48.62359801833696,0.2895595260691612,5,134.30924148814847,49.34563372901892,57.255698040055854,19.89981674103296,27.01752002105773,64.34421208131982,,
dnn_reg_history_residual,5,57.56369366020776,-0.2540077741252105,20,50.0,66.46730583852585,23.29411109553848,22.41282345715397,78.52571306798806,156.6477151205507,,0.9898477157360406
dnn_reg_lowppm_weighted,5,22.496385621344164,0.8521641914198622,20,9.901786961416049,12.801954872564,20.842267878180927,26.05937397422564,23.49433622184037,22.69609065383455,,
dnn_reg_history_residual,6,34.27261709585885,0.5697475622164458,1471,27.651564289240422,10.117305224982903,11.072339916735746,20.137837959360898,53.04564750138943,58.11912469347673,10.424103482922094,0.7547826086956522
dnn_reg_lowppm_weighted,6,19.17182444815236,0.871433903330389,1471,17.091150731806987,26.27785733352936,10.691305263440317,16.527787690057398,15.60266862757325,28.383173268621512,15.704201025587013,
dnn_reg_history_residual,7,43.13661092575447,0.4580451260498106,886,28.66408803451457,59.47377411240512,25.45400125525015,21.240155664791768,48.36914731937252,77.51208988853918,34.85426008534078,0.7735953501245503
dnn_reg_lowppm_weighted,7,25.950124065855423,0.7520212756579014,886,20.9785341055074,36.34045648036173,14.142633434109763,29.444356052721,33.94537112066015,20.901022059299944,27.405935440934588,
dnn_reg_history_residual,8,22.054228101464403,0.5602554442373909,134,24.874497798019497,22.28418175911461,16.89720782329372,29.99837617879108,11.953252690351768,10.0,4.811253278865471,0.935374149659864
dnn_reg_lowppm_weighted,8,23.338850260977107,0.5964373878053261,134,19.949731568693057,36.56148652403475,13.617723620063584,27.47739380304677,21.782023599734405,6.3916280985498135,9.738931751087016,
dnn_reg_history_residual,9,21.57696812019899,0.747390074074973,217,18.831589642729433,17.882853062686245,28.765756046807578,27.038500695410832,6.473026939047128,10.0,30.895430404204905,0.7680851063829788
dnn_reg_lowppm_weighted,9,20.784091481139278,0.7586064209792912,217,17.79179521844629,22.930762576993878,16.274249289611028,30.69305742708203,10.920551557750478,3.4017209834765785,30.224596502321756,
dnn_reg_history_residual,10,68.50639667813437,0.835118676392729,1100,23.28328351857636,120.78846235317133,76.82733841460984,85.38914992931551,60.948537871607165,36.38531419804946,30.69957730205287,0.7005555555555556
dnn_reg_lowppm_weighted,10,105.2668999842931,0.6544819930052136,1100,14.99075935192816,260.3884715480809,80.6771026725377,170.41790143879942,41.510411749856104,58.506512319626154,20.101000176858303,
