model_label,test_batch,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,low_ppm_accuracy_mean,low_ppm_accuracy_std,recall_Ethylene_mean,recall_Ethylene_std,recall_Acetone_mean,recall_Acetone_std,recall_Toluene_mean,recall_Toluene_std
Baseline DNN,4,0.8240165631469979,0.052825469242952686,0.6757602129991714,0.03422545582771386,0.5333333333333333,0.5033222956847166,0.6222222222222222,0.03849001794597503,0.734375,0.11796616305110547,0.0,0.0
Baseline DNN,5,0.9813874788494078,0.0029307120263432226,0.8156969842564824,0.0027203673221919164,1.0,0.0,0.9710144927536232,0.012551092808470117,0.9880952380952381,0.02061965247105807,0.0,0.0
Baseline DNN,6,0.7597101449275363,0.010106552679194856,0.6578313006377372,0.02393371461683841,0.7040561975980059,0.01224286667504202,0.8275862068965517,0.1243293543263444,0.9682230869001297,0.013802721565364908,0.0028551034975017845,0.001236296079635173
Baseline DNN,7,0.7586493218931635,0.015506996764828602,0.7358639873953536,0.022449262048474476,0.5677200902934537,0.03553064613701396,0.260752688172043,0.02423085534586014,1.0,0.0,0.4859154929577465,0.055001758281032764
Baseline DNN,8,0.9195011337868481,0.009818882129075262,0.8963477772403671,0.021848283480462985,0.9427860696517413,0.022798884054506672,0.9595959595959597,0.01749546270271591,1.0,0.0,0.7777777777777777,0.11111111111111105
Baseline DNN,9,0.7730496453900709,0.0012284048280630754,0.7549980635778062,0.00295367827003855,0.5391705069124424,0.004608294930875556,0.9866666666666667,0.0,1.0,0.0,0.009900990099009901,0.009900990099009901
Baseline DNN,10,0.6878703703703705,0.005708541719184527,0.6926479819911456,0.004704844894782028,0.6275757575757576,0.03139107276019426,0.3661111111111111,0.04263323342877702,0.47500000000000003,0.04010403138505326,0.8183333333333334,0.01589898669028247
MMD DNN (lambda=0.5),4,0.7826086956521738,0.021516159100234463,0.6554925774423754,0.013166740609364482,0.39999999999999997,0.5291502622129182,0.6444444444444444,0.03849001794597505,0.6510416666666666,0.059155295268752864,0.0,0.0
MMD DNN (lambda=0.5),5,0.9813874788494078,0.0077539351860504285,0.8154547706753,0.007007818045710211,1.0,0.0,0.9710144927536232,0.012551092808470117,0.9761904761904763,0.04123930494211611,0.0,0.0
MMD DNN (lambda=0.5),6,0.7640579710144927,0.011579701075616363,0.659475834106693,0.017307085939611912,0.711307500566508,0.01632015189669688,0.8620689655172414,0.18246560765962694,0.9623865110246433,0.010715117796276425,0.02569593147751606,0.04085392725554371
MMD DNN (lambda=0.5),7,0.7658455577082757,0.0035336687890406655,0.7465574900089105,0.0038809843247219027,0.5665914221218962,0.0362054513145495,0.30958781362007165,0.004106250622720277,1.0,0.0,0.46361502347417843,0.025774872366194537
MMD DNN (lambda=0.5),8,0.9274376417233561,0.003927552851630095,0.9113850086763743,0.001720379348650077,0.9552238805970149,0.007462686567164201,0.9595959595959597,0.01749546270271591,1.0,0.0,0.8518518518518517,0.0641500299099584
MMD DNN (lambda=0.5),9,0.7723404255319148,0.0021276595744680604,0.7527846861424314,0.0017659353233833233,0.5376344086021505,0.0026606003188461903,0.9822222222222222,0.007698003589195036,1.0,0.0,0.009900990099009901,0.0
MMD DNN (lambda=0.5),10,0.7036111111111111,0.005576349972190173,0.7103563400559576,0.002576005484896611,0.6309090909090909,0.02294441720749812,0.3972222222222222,0.021751968833835414,0.5472222222222222,0.01058475493514312,0.8011111111111111,0.024286103327104864
