model,mmd_lambda,seed,test_batch,n_train,n_test,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,low_ppm_n,low_ppm_accuracy,model_label
dnn_baseline,0.0,11,4,3275,161,0.7701863354037267,0.641178492664847,1.0,0.6,1.0,1.0,0.609375,0.0,5,0.0,Baseline DNN
dnn_mmd,0.5,11,4,3275,161,0.7701863354037267,0.6438709348903523,1.0,0.6,1.0,1.0,0.609375,0.0,5,0.0,MMD DNN (lambda=0.5)
dnn_baseline,0.0,11,5,3436,197,0.9847715736040609,0.8188356981460431,0.95,0.9782608695652174,0.9841269841269841,1.0,1.0,0.0,20,1.0,Baseline DNN
dnn_mmd,0.5,11,5,3436,197,0.9746192893401016,0.8091362509243295,0.9,0.9782608695652174,1.0,1.0,0.9285714285714286,0.0,20,1.0,MMD DNN (lambda=0.5)
dnn_baseline,0.0,11,6,3633,2300,0.7482608695652174,0.6418874942499205,0.9181818181818182,0.9310344827586207,0.9554455445544554,0.9111498257839721,0.953307392996109,0.0021413276231263384,1471,0.6920462270564242,Baseline DNN
dnn_mmd,0.5,11,6,3633,2300,0.7513043478260869,0.6708291114091184,0.9181818181818182,0.9310344827586207,0.9636963696369637,0.9111498257839721,0.9552529182879378,0.004282655246252677,1471,0.6934058463630184,MMD DNN (lambda=0.5)
dnn_baseline,0.0,11,7,5933,3613,0.7716579020204816,0.7562150189873802,0.9666666666666667,0.28091397849462363,0.9984126984126984,0.9984894259818731,1.0,0.5140845070422535,886,0.5778781038374717,Baseline DNN
dnn_mmd,0.5,11,7,5933,3613,0.7619706615001384,0.7502003507267928,0.925,0.31048387096774194,0.9984126984126984,0.9984894259818731,1.0,0.44014084507042256,886,0.5349887133182845,MMD DNN (lambda=0.5)
dnn_baseline,0.0,11,8,9546,294,0.9251700680272109,0.9130810569527519,0.675,0.9393939393939394,0.986013986013986,0.9,1.0,0.8888888888888888,134,0.9626865671641791,Baseline DNN
dnn_mmd,0.5,11,8,9546,294,0.9251700680272109,0.9123479893793741,0.675,0.9393939393939394,0.993006993006993,0.8666666666666667,1.0,0.8888888888888888,134,0.9552238805970149,MMD DNN (lambda=0.5)
dnn_baseline,0.0,11,9,9840,470,0.7723404255319148,0.7532528844634108,1.0,0.9866666666666667,0.9358974358974359,1.0,1.0,0.0,217,0.5345622119815668,Baseline DNN
dnn_mmd,0.5,11,9,9840,470,0.774468085106383,0.7542939418977331,1.0,0.9733333333333334,0.9487179487179487,1.0,1.0,0.009900990099009901,217,0.5391705069124424,MMD DNN (lambda=0.5)
dnn_baseline,0.0,11,10,10310,3600,0.685,0.6916267981470418,0.81,0.3466666666666667,0.755,0.8616666666666667,0.5166666666666667,0.82,1100,0.5927272727272728,Baseline DNN
dnn_mmd,0.5,11,10,10310,3600,0.7011111111111111,0.7088697414299342,0.79,0.42,0.8233333333333334,0.865,0.535,0.7733333333333333,1100,0.6245454545454545,MMD DNN (lambda=0.5)
dnn_baseline,0.0,23,4,3275,161,0.8260869565217391,0.6764842300556585,1.0,0.6,1.0,1.0,0.75,0.0,5,0.6,Baseline DNN
dnn_mmd,0.5,23,4,3275,161,0.7701863354037267,0.6528142216929599,1.0,0.6666666666666666,1.0,0.9302325581395349,0.625,0.0,5,0.2,MMD DNN (lambda=0.5)
dnn_baseline,0.0,23,5,3436,197,0.9796954314720813,0.8142360464394361,0.95,0.9565217391304348,0.9841269841269841,1.0,1.0,0.0,20,1.0,Baseline DNN
