variant,test_batch,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,low_ppm_accuracy_mean,low_ppm_accuracy_std,recall_Ethylene_mean,recall_Ethylene_std,recall_Acetone_mean,recall_Acetone_std,recall_Toluene_mean,recall_Toluene_std
MMD baseline,4,0.7826086956521738,0.021516159100234463,0.6554925774423754,0.013166740609364482,0.39999999999999997,0.5291502622129182,0.6444444444444444,0.03849001794597505,0.6510416666666666,0.059155295268752864,0.0,0.0
MMD baseline,5,0.9813874788494078,0.0077539351860504285,0.8154547706753,0.007007818045710211,1.0,0.0,0.9710144927536232,0.012551092808470117,0.9761904761904763,0.04123930494211611,0.0,0.0
MMD baseline,6,0.7640579710144927,0.011579701075616363,0.659475834106693,0.017307085939611912,0.711307500566508,0.01632015189669688,0.8620689655172414,0.18246560765962694,0.9623865110246433,0.010715117796276425,0.02569593147751606,0.04085392725554371
MMD baseline,7,0.7658455577082757,0.0035336687890406655,0.7465574900089105,0.0038809843247219027,0.5665914221218962,0.0362054513145495,0.30958781362007165,0.004106250622720277,1.0,0.0,0.46361502347417843,0.025774872366194537
MMD baseline,8,0.9274376417233561,0.003927552851630095,0.9113850086763743,0.001720379348650077,0.9552238805970149,0.007462686567164201,0.9595959595959597,0.01749546270271591,1.0,0.0,0.8518518518518517,0.0641500299099584
MMD baseline,9,0.7723404255319148,0.0021276595744680604,0.7527846861424314,0.0017659353233833233,0.5376344086021505,0.0026606003188461903,0.9822222222222222,0.007698003589195036,1.0,0.0,0.009900990099009901,0.0
MMD baseline,10,0.7036111111111111,0.005576349972190173,0.7103563400559576,0.002576005484896611,0.6309090909090909,0.02294441720749812,0.3972222222222222,0.021751968833835414,0.5472222222222222,0.01058475493514312,0.8011111111111111,0.024286103327104864
MMD hard-gas weighted,4,0.7681159420289855,0.019966150643877755,0.6496108566152494,0.011520085936045131,0.26666666666666666,0.30550504633038933,0.6555555555555556,0.01924500897298757,0.609375,0.015625,0.0,0.0
MMD hard-gas weighted,5,0.988155668358714,0.0029307120263432867,0.8215842627281194,0.0023805620477912862,1.0,0.0,0.9855072463768115,0.012551092808470101,0.9880952380952381,0.02061965247105807,0.0,0.0
MMD hard-gas weighted,6,0.7543478260869566,0.0059772726455946355,0.6645911734960365,0.030563187217893185,0.6940856560163153,0.0053958218444553315,0.8620689655172414,0.18246560765962694,0.9649805447470817,0.010109245958573179,0.012134189864382583,0.017308145114892422
MMD hard-gas weighted,7,0.7879878217547743,0.03543302788821232,0.7706273888604253,0.04636168017820134,0.627915726109857,0.06715654658689744,0.3221326164874552,0.023905594214971487,1.0,0.0,0.5827464788732395,0.18105577650961185
MMD hard-gas weighted,8,0.9251700680272109,0.006802721088435382,0.9059953271109067,0.0145319412418372,0.9527363184079602,0.008617168196860103,0.9595959595959597,0.017495462702715934,1.0,0.0,0.8333333333333334,0.0555555555555555
MMD hard-gas weighted,9,0.7702127659574468,0.0021276595744680327,0.7494370190134676,0.003037926427823304,0.5360983102918587,0.0026606003188461742,0.9866666666666667,0.0,1.0,0.0,0.0033003300330033004,0.005716339298907186
MMD hard-gas weighted,10,0.7047222222222222,0.01568153352919166,0.713367550757633,0.017176142156370026,0.6545454545454545,0.020307552639716963,0.3927777777777777,0.04157768276015034,0.5188888888888888,0.08256871436926093,0.8122222222222222,0.03092703479937062
