variant,class_weight,low_ppm_weight,test_batch,seed,accuracy,macro_f1,low_ppm_accuracy,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene
MMD baseline,1.0,1.0,4,11,0.7701863354037267,0.6438709348903523,0.0,1.0,0.6,1.0,1.0,0.609375,0.0
MMD hard-gas weighted,1.5,1.0,4,11,0.782608695652174,0.6564648579893589,0.0,1.0,0.6333333333333333,1.0,1.0,0.625,0.0
MMD baseline,1.0,1.0,5,11,0.9746192893401016,0.8091362509243295,1.0,0.9,0.9782608695652174,1.0,1.0,0.9285714285714286,0.0
MMD hard-gas weighted,1.5,1.0,5,11,0.9898477157360406,0.8229920146621348,1.0,0.95,0.9782608695652174,1.0,1.0,1.0,0.0
MMD baseline,1.0,1.0,6,11,0.7513043478260869,0.6708291114091184,0.6934058463630184,0.9181818181818182,0.9310344827586207,0.9636963696369637,0.9111498257839721,0.9552529182879378,0.004282655246252677
MMD hard-gas weighted,1.5,1.0,6,11,0.7530434782608696,0.6761142564275074,0.6961250849762066,0.9181818181818182,0.9310344827586207,0.9735973597359736,0.9111498257839721,0.953307392996109,0.0021413276231263384
MMD baseline,1.0,1.0,7,11,0.7619706615001384,0.7502003507267928,0.5349887133182845,0.925,0.31048387096774194,0.9984126984126984,0.9984894259818731,1.0,0.44014084507042256
MMD hard-gas weighted,1.5,1.0,7,11,0.8286742319402158,0.8237944011646198,0.7054176072234764,0.9694444444444444,0.3481182795698925,0.9984126984126984,0.9984894259818731,1.0,0.7869718309859155
MMD baseline,1.0,1.0,8,11,0.9251700680272109,0.9123479893793741,0.9552238805970149,0.675,0.9393939393939394,0.993006993006993,0.8666666666666667,1.0,0.8888888888888888
MMD hard-gas weighted,1.5,1.0,8,11,0.9319727891156463,0.9212874273059969,0.9626865671641791,0.675,0.9696969696969697,0.993006993006993,0.9,1.0,0.8888888888888888
MMD baseline,1.0,1.0,9,11,0.774468085106383,0.7542939418977331,0.5391705069124424,1.0,0.9733333333333334,0.9487179487179487,1.0,1.0,0.009900990099009901
MMD hard-gas weighted,1.5,1.0,9,11,0.7702127659574468,0.7493427795679599,0.5345622119815668,1.0,0.9866666666666667,0.9230769230769231,1.0,1.0,0.0
MMD baseline,1.0,1.0,10,11,0.7011111111111111,0.7088697414299342,0.6245454545454545,0.79,0.42,0.8233333333333334,0.865,0.535,0.7733333333333333
MMD hard-gas weighted,1.5,1.0,10,11,0.7094444444444444,0.7174262827312813,0.6609090909090909,0.8583333333333333,0.37666666666666665,0.8283333333333334,0.8633333333333333,0.515,0.815
MMD baseline,1.0,1.0,4,23,0.7701863354037267,0.6528142216929599,0.2,1.0,0.6666666666666666,1.0,0.9302325581395349,0.625,0.0
