experiment,model,test_batch,n_train,n_test,n_calibrated_features,n_stable_features,calibrated_pct,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,low_ppm_n,low_ppm_accuracy
rolling,dnn_all_calibrated,4,3275,161,128,0,100.0,0.7515527950310559,0.6448129251700679,1.0,0.6666666666666666,1.0,1.0,0.53125,0.0,5,0.0
rolling,dnn_all_calibrated,5,3436,197,128,0,100.0,0.9898477157360406,0.8229920146621348,0.95,0.9782608695652174,1.0,1.0,1.0,0.0,20,1.0
rolling,dnn_all_calibrated,6,3633,2300,128,0,100.0,0.7547826086956522,0.648893048091125,0.9181818181818182,1.0,1.0,0.9111498257839721,0.9260700389105059,0.0021413276231263384,1471,0.7029231815091774
rolling,dnn_all_calibrated,7,5933,3613,128,0,100.0,0.7735953501245503,0.7500119143713556,0.8972222222222223,0.2782258064516129,0.9984126984126984,0.9984894259818731,1.0,0.573943661971831,886,0.6094808126410836
rolling,dnn_all_calibrated,8,9546,294,128,0,100.0,0.935374149659864,0.9307252476654008,0.675,1.0,0.972027972027972,0.9666666666666667,1.0,0.9444444444444444,134,0.9850746268656716
rolling,dnn_all_calibrated,9,9840,470,128,0,100.0,0.7680851063829788,0.7451641356956603,1.0,0.9733333333333334,0.9230769230769231,1.0,1.0,0.0,217,0.5345622119815668
rolling,dnn_all_calibrated,10,10310,3600,128,0,100.0,0.7005555555555556,0.7026802555984512,0.8116666666666666,0.395,0.9033333333333333,0.7883333333333333,0.505,0.8,1100,0.6436363636363637
rolling,dnn_selective,4,3275,161,113,15,88.3,0.7577639751552795,0.648003848003848,1.0,0.6666666666666666,1.0,1.0,0.546875,0.0,5,0.0
rolling,dnn_selective,5,3436,197,111,17,86.7,0.9847715736040609,0.8188356981460431,0.95,0.9782608695652174,0.9841269841269841,1.0,1.0,0.0,20,1.0
rolling,dnn_selective,6,3633,2300,119,9,93.0,0.7543478260869565,0.6400982614221832,0.9181818181818182,1.0,0.9900990099009901,0.9094076655052264,0.9396887159533074,0.0,1471,0.7002039428959891
rolling,dnn_selective,7,5933,3613,113,15,88.3,0.724882369222253,0.6763948130136413,0.9444444444444444,0.33736559139784944,0.9984126984126984,1.0,1.0,0.15492957746478872,886,0.4525959367945824
rolling,dnn_selective,8,9546,294,93,35,72.7,0.9115646258503401,0.8840022108369258,0.675,1.0,0.972027972027972,0.8333333333333334,1.0,0.7777777777777778,134,0.9328358208955224
rolling,dnn_selective,9,9840,470,127,1,99.2,0.776595744680851,0.7530010338612767,1.0,0.9866666666666667,0.9615384615384616,1.0,1.0,0.0,217,0.5345622119815668
rolling,dnn_selective,10,10310,3600,126,2,98.4,0.6788888888888889,0.677386960760873,0.7566666666666667,0.305,0.88,0.79,0.59,0.7516666666666667,1100,0.61
